# L3-BASIC & S1-BASIC コード変換テーブル
# 
# 書式:
# <中間言語コード>,<BASICステートメント>,<属性>
#
# 属性:
# data    : これ以降コロンまでDATA文としてそのまま出力
# comment : これ以降行末までコメントと解釈
# colon   : この命令の前にある:を取り除く
# linenumber : この命令の後に来る数値を行番号とみなす
# charnumber : この命令の後に来る数値を文字列とみなす
# contlinenumber : linenumber命令が来てこの命令の後に来る数値を行番号とみなす
# onelinenumber : この命令の後に来る最初の数値だけを行番号とみなす
# contonelinenumber : linenumber命令が来てこの命令の後に来る最初の数値だけを行番号とみなす
# hexstring : この命令から16進文字列とみなす
# octstring : この命令から8進文字列とみなす
#
#
# L3-BASIC
#
#
BC, CLEAR
BD, RANDOMIZE
BE, WHILE
BF, WEND
C0, NEW
C1, CIRCLE
C2, CONNECT
C3, LFILES
C4, LLIST	,linenumber
C5, LSET
C6, RSET
C7, TAB(
C8, TO		,contlinenumber
C9, SUB		,contlinenumber
CA, FN
CB, SPC(
CC, USING
CD, USR
CE, ERL
CF, ERR
D0, OFF
D1, THEN	,linenumber
D2, NOT
D3, STEP
D4, +
D5, -
D6, *
D7, /
D8, ^
D9, AND
DA, OR
DB, XOR
DC, EQV
DD, IMP
DE, MOD
DF, \
E0, >
E1, =
E2, <
E3, LCOPY
E4, GCURSOR
E54043, GET@C
E540, GET@
E5, GET
E6, IG$
E7, IMAGE
E840, KANJI@
E8, KANJI
E9, PAINT
EA, PALETTE
EB, PLAY
EC4043, PUT@C
EC40, PUT@
EC, PUT
ED, SOUND
EE, SYMBOL
#
[S1 DISK BASIC]
EF, DSKINI
F0, DSKI$
F1, DSKO$
F2, KILL
F3, NAME
F4, FIELD
F5, VERIFY
F6, DEVICE
F7, CHAIN	,linenumber
#
[S1 KANJI DISK BASIC]
EF, DSKINI
F0, DSKI$
F1, DSKO$
F2, KILL
F3, NAME
F4, FIELD
F5, VERIFY
F6, DEVICE
F7, CHAIN	,linenumber
#
[S1 ROM BASIC]
FF80, SGN
FF81, INT
FF82, ABS
FF83, FRE
FF84, POS
FF85, SQR
FF86, LOG
FF87, EXP
FF88, COS
FF89, SIN
FF8A, TAN
FF8B, ATN
FF8C, PEEK
FF8D, LEN
FF8E, STR$
FF8F, VAL
FF90, ASC
FF91, CHR$
FF92, CINT
FF93, CSNG
FF94, CDBL
FF95, FIX
FF96, SPACE$
FF97, HEX$
FF98, OCT$
FF99, LOF
FF9A, EOF
FF9B, PEN
FF9C, LEFT$
FF9D, RIGHT$
FF9E, MID$
FF9F, INSTR
FFA0, SCREEN
FFA1, VARPTR
FFA2, STRING$
FFA3, RND
FFA4, INKEY$
FFA524, INPUT$
FFA5, INPUT	,linenumber
FFA6, CSRLIN
FFA724, TIME$
FFA7, TIME
FFA824, DATE$
FFA8, DATE
FFA9, MKI$
FFAA, MKS$
FFAB, MKD$
FFAC, CVI
FFAD, CVS
FFAE, CVD
FFAF, POINT
FFB0, MAP
FFB1, VIEW
FFB2, WINDOW
FFB3, MREAD
FFB4, STICK
FFB5, INTERVAL
FFB6, MTRIG
FFB7, STRIG
#
[S1 DISK BASIC]
FFB8, DSKF
FFB9, LOC
#
[S1 KANJI DISK BASIC]
FFB8, DSKF
FFB9, LOC
FFBA, JIS$
FFBB, KCHR$
FFBC, KLEN
FFBD, KPOS
FFBE, KINPUT$
FFBF, KINKEY$
FFC0, KMODE
